id,asin,url
1,5463213682,https://images-na.ssl-images-amazon.com/images/I/314pt87yqeL.jpg
2,9742356831,https://images-na.ssl-images-amazon.com/images/I/51BCCbZkxlL.jpg
3,B00005344V,https://images-na.ssl-images-amazon.com/images/I/61eUX8g7N1L.jpg
4,B00005BPQ9,https://images-na.ssl-images-amazon.com/images/I/5104PGMYjxL.jpg
5,B00006BN4U,https://images-na.ssl-images-amazon.com/images/I/61Con66N0KL.jpg
6,B00006FMLY,https://images-na.ssl-images-amazon.com/images/I/61FelQX0BpL.jpg
7,B00006FWVX,https://images-na.ssl-images-amazon.com/images/I/51ViRrLoI3L.jpg
8,B00006IDK9,https://images-na.ssl-images-amazon.com/images/I/31lgL5eFgWL.jpg
9,B00008CQRK,https://images-na.ssl-images-amazon.com/images/I/4133SshOalL.jpg
10,B00008RCN8,https://images-na.ssl-images-amazon.com/images/I/51BXHWePMAL.jpg
11,B0000A0BS5,https://images-na.ssl-images-amazon.com/images/I/51hKRQkA6NL.jpg
12,B0000A1OEF,https://images-na.ssl-images-amazon.com/images/I/510MsUbvz8L.jpg
13,B0000AA8UL,https://images-na.ssl-images-amazon.com/images/I/41vmaMcw%2BYL.jpg
14,B0000AE5ZF,https://images-na.ssl-images-amazon.com/images/I/718UnXoq4aL.jpg
15,B0000CDBPT,https://images-na.ssl-images-amazon.com/images/I/51NTyNRe5PL.jpg
16,B0000CDBQL,https://images-na.ssl-images-amazon.com/images/I/51dswzsBfrL.jpg
17,B0000CFH7B,https://images-na.ssl-images-amazon.com/images/I/41gC2lzKjYL.jpg
18,B0000CFMU7,https://images-na.ssl-images-amazon.com/images/I/514jlvWf8yL.jpg
19,B0000CFN7X,https://images-na.ssl-images-amazon.com/images/I/41S%2BbjzeeuL.jpg
20,B0000CFPI2,https://images-na.ssl-images-amazon.com/images/I/51yW2oaAocL.jpg
21,B0000CFMU3,https://images-na.ssl-images-amazon.com/images/I/31BCQ4eWevL.jpg
22,B0000CGE1S,https://images-na.ssl-images-amazon.com/images/I/31UNX7Ok3qL.jpg
23,B0000CH4FT,https://images-na.ssl-images-amazon.com/images/I/41l1AU5OsBL.jpg
24,B0000CNU1S,https://images-na.ssl-images-amazon.com/images/I/31pcP5wjqoL.jpg
25,B0000CNU15,https://images-na.ssl-images-amazon.com/images/I/51Ru%2BxMDoxL.jpg
26,B0000CNU1X,https://images-na.ssl-images-amazon.com/images/I/31sQgMAlcoL.jpg
27,B0000D916Y,https://images-na.ssl-images-amazon.com/images/I/51X3C40yx%2BL.jpg
28,B0000D9169,https://images-na.ssl-images-amazon.com/images/I/51Qy2CQ-R1L.jpg
29,B0000DA0XJ,https://images-na.ssl-images-amazon.com/images/I/511CwCZckLL.jpg
30,B0000DBN1H,https://images-na.ssl-images-amazon.com/images/I/512JkI%2BV0kL.jpg
31,B0000DBN2F,https://images-na.ssl-images-amazon.com/images/I/41eFT2AQmWL.jpg
32,B0000DBN1L,https://images-na.ssl-images-amazon.com/images/I/41qySwO4qEL.jpg
33,B0000DG86X,https://images-na.ssl-images-amazon.com/images/I/51w4ijtcoGL.jpg
34,B0000DGDPF,https://images-na.ssl-images-amazon.com/images/I/61VKLZeUpGL.jpg
35,B0000DGG8B,https://images-na.ssl-images-amazon.com/images/I/51RKdydgu%2BL.jpg
36,B0000DG4MK,https://images-na.ssl-images-amazon.com/images/I/416hdtRsAJL.jpg
37,B0000DG8AR,https://images-na.ssl-images-amazon.com/images/I/61Phmq2aK1L.jpg
38,B0000DGF9V,https://images-na.ssl-images-amazon.com/images/I/51sp1E9%2BBGL.jpg
39,B0000DG56P,https://images-na.ssl-images-amazon.com/images/I/41-E%2BDqDMHL.jpg
40,B0000DGFCO,https://images-na.ssl-images-amazon.com/images/I/51yLjx%2B5RWL.jpg
41,B0000DHXGI,https://images-na.ssl-images-amazon.com/images/I/41%2BGNPQOyqL.jpg
42,B0000DI085,https://images-na.ssl-images-amazon.com/images/I/41exer7HLcL.jpg
43,B0000DHXGL,https://images-na.ssl-images-amazon.com/images/I/51e6oDLZZqL.jpg
44,B0000DI145,https://images-na.ssl-images-amazon.com/images/I/41dBZ0F76cL.jpg
45,B0000DID5X,https://images-na.ssl-images-amazon.com/images/I/31uPCcwoiwL.jpg
46,B0000DG5AN,https://images-na.ssl-images-amazon.com/images/I/41297P2Ap1L.jpg
47,B0000DID5R,https://images-na.ssl-images-amazon.com/images/I/41a-jriUVRL.jpg
48,B0000DIYWO,https://images-na.ssl-images-amazon.com/images/I/51ToEq14AkL.jpg
49,B0000DJ7SR,https://images-na.ssl-images-amazon.com/images/I/51eSAnAZjBL.jpg
50,B0000DJ6NG,https://images-na.ssl-images-amazon.com/images/I/31yGWDCjSoL.jpg
51,B0000DIYVM,https://images-na.ssl-images-amazon.com/images/I/31HCNCALX4L.jpg
52,B0000DKQ59,https://images-na.ssl-images-amazon.com/images/I/51FyU4BOAiL.jpg
53,B0000E2YFI,https://images-na.ssl-images-amazon.com/images/I/41EXv380WHL.jpg
54,B0000E5JIU,https://images-na.ssl-images-amazon.com/images/I/51qY-%2BoPsFL.jpg
55,B0000EIEPW,https://images-na.ssl-images-amazon.com/images/I/41KTLYGtJjL.jpg
56,B0000EWQIA,https://images-na.ssl-images-amazon.com/images/I/31SMNbjXcEL.jpg
57,B0000EWY28,https://images-na.ssl-images-amazon.com/images/I/51ZGdpxj5fL.jpg
58,B0000EXHJ2,https://images-na.ssl-images-amazon.com/images/I/51OTJjNttSL.jpg
59,B0000GHNSQ,https://images-na.ssl-images-amazon.com/images/I/41Lg4VNihJL.jpg
60,B0000GHNV8,https://images-na.ssl-images-amazon.com/images/I/41J8pg8IhHL.jpg
61,B0000GK068,https://images-na.ssl-images-amazon.com/images/I/31Z0f4ELgAL.jpg
62,B0000GHNT0,https://images-na.ssl-images-amazon.com/images/I/41mjV90Vz7L.jpg
